,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1963,0.358894455,0.196406299,0.119821413,0.072871524,0.047871242,0.033949912,0.02548065,0.019860544,0.016011788,0.013551973,0.012031217,0.010875164,0.009814871,0.00871773,0.007623421,0.006637325,0.005731573,0.004913854,0.004197439,0.024737606
1964,0.364710941,0.199483347,0.121308347,0.073721825,0.047753848,0.033070973,0.024535487,0.019109755,0.015352113,0.012667549,0.010887748,0.009704697,0.008798554,0.007956622,0.007074274,0.006198645,0.005402246,0.004665037,0.004003481,0.02359451
1965,0.372432454,0.203532713,0.121998815,0.072986366,0.047296802,0.032369675,0.023508753,0.018142282,0.014593349,0.01201732,0.010080477,0.008698882,0.007776971,0.007064935,0.006395286,0.005697465,0.004997248,0.004355203,0.00376464,0.022290365
1966,0.381281386,0.20818495,0.122899107,0.071624824,0.045758083,0.031410361,0.022608026,0.017125758,0.013680947,0.011300117,0.009471559,0.007976859,0.006904264,0.006184904,0.005624254,0.005101352,0.004549266,0.003990163,0.003480986,0.020842834
1967,0.389401918,0.212543563,0.124490043,0.070984495,0.044199061,0.029942638,0.02164122,0.016264861,0.012765899,0.01047934,0.008814675,0.007417916,0.006266071,0.005434371,0.004873031,0.004440171,0.004031386,0.003595095,0.003156414,0.019257831
1968,0.401778065,0.219133677,0.125497919,0.068906416,0.041956252,0.027740054,0.019816634,0.014977296,0.011677581,0.00942712,0.007885969,0.006659851,0.005621383,0.004758009,0.004130603,0.003711351,0.003385064,0.003073417,0.002743544,0.017119797
1969,0.417935827,0.227752253,0.126741835,0.065611906,0.038456817,0.024914551,0.017409736,0.013033774,0.010238218,0.008222036,0.006770615,0.00568645,0.004816744,0.00407381,0.003451574,0.003002437,0.002700392,0.002462984,0.002238466,0.014479574
1970,0.422699635,0.230408906,0.130291353,0.067763586,0.037554897,0.023450905,0.016079049,0.011790269,0.009184055,0.007436906,0.006095766,0.005039811,0.004245514,0.003603389,0.003050652,0.002589868,0.002255115,0.00202825,0.001851786,0.012580289
1971,0.427042424,0.232701493,0.131241427,0.069162156,0.03851542,0.022750238,0.015041695,0.010827059,0.008263554,0.006637486,0.005486915,0.004515453,0.003744469,0.003160639,0.002685283,0.002277929,0.001935795,0.001685585,0.001517531,0.010807451
1972,0.432189304,0.235221376,0.130821118,0.068452707,0.038739408,0.023083647,0.014498987,0.010105325,0.007597564,0.005995336,0.004925274,0.004087824,0.003374179,0.002803662,0.002368888,0.00201664,0.001712429,0.001455231,0.001268404,0.009282696
1973,0.437903322,0.238009122,0.130190858,0.066824264,0.037673071,0.022912829,0.014587809,0.009703299,0.007091428,0.005528797,0.004471535,0.003688168,0.003070262,0.002539335,0.002112086,0.00178813,0.001523763,0.001293902,0.001100665,0.007987356
1974,0.441534867,0.239675499,0.129949724,0.066127158,0.036717609,0.022345385,0.01459151,0.009883895,0.006921051,0.005260973,0.004212775,0.003420831,0.002830013,0.002360596,0.001954342,0.001628775,0.001380329,0.001176253,0.000999815,0.007028601
1975,0.455437155,0.246683098,0.126773392,0.060368117,0.033293003,0.020077846,0.013207612,0.009235594,0.006622034,0.004843215,0.003792376,0.003048954,0.00248323,0.002058461,0.001718739,0.001425796,0.001189467,0.001008031,0.000859857,0.005874022
1976,0.476821801,0.257654047,0.123193473,0.05182596,0.026854239,0.01624111,0.010700051,0.007614625,0.005685157,0.004285794,0.003243922,0.002550265,0.002056494,0.001678271,0.001392586,0.001165086,0.000967475,0.000807113,0.000684685,0.004577843
